	data	cluster
0	попугай	0
1	волнистый попугай	4
2	купить попугая	3
3	попугай корелла	1
4	попугай кеша	6
5	попугать	0
6	попугай попугал	0
7	попугай фото	1
8	попугаи видео	1
9	сколько попугаев	1
10	говорящий попугай	1
11	говорящий попугай говорит	1
12	попугай говорит	1
13	попугаи неразлучники	0
14	 попугаев	0
15	про попугаев	0
16	попугая ару	5
17	попугай ара	0
18	попугай жако	1
19	попугай цена	1
20	попугай мультфильм	1
21	домашние попугаи	1
22	клетка для попугая	1
23	можно ли попугаю	2
24	почему попугай	0
25	попугаи в домашних условиях	1
26	зеленый попугай	0
27	сколько живут попугаи	1
28	попугай разговаривает	0
29	попугаи данные	0
30	попугай слушать	1
31	давай попугаем	0
32	пение попугаев	0
33	попугай мультик	1
34	ожереловый попугай	0
35	кормы попугаев	0
36	клюв попугая	5
37	виды попугаев	0
38	попугай какаду	0
39	попугай мальчик	0
40	серия попугай	6
41	картинки попугаев	0
42	волнистые попугаи сколько	4
43	авито попугаи	0
44	попугай москва	1
45	домашний волнистый попугай	4
46	скачать попугая	1
47	большие попугаи	0
48	попугай девочка	0
49	рыба попугай	0
50	самка попугая	5
51	попугай бесплатно	1
52	волнистые попугаи в домашних условиях	4
53	содержание попугаев	1
54	попугай кеша мультфильм	6
55	попугай онлайн	1
56	попугай поет	0
57	где попугай	0
58	блудный попугай	0
59	белый попугай	0
60	корм для попугаев	0
61	хороший попугай	0
62	пение волнистых попугаев	4
63	яйца попугаев	0
64	волнистый попугай купить	4
65	волнистые попугаи живут	4
66	породы попугаев	0
67	возвращение попугая	5
68	 попугаев мультфильм	1
69	сколько стоит попугай	1
70	возвращение блудного попугая	5
71	ИМЯ	1
72	ИМЯ	1
73	попугай кеша все серии	6
74	попугай отзывы	0
75	сколько живут волнистые попугаи	4
76	попугай своими руками	0
77	ИМЯ	1
78	волнистый попугай слушать	4
79	попугаи самцы	0
80	розелла попугай	0
81	какие волнистые попугаи	4
82	звуки попугаев	0
83	попугай сканворд	0
84	попугаи перу	0
85	перо попугая	5
86	попугай все серии подряд	6
87	купить клетку для попугая	3
88	попугай поле	0
89	попугай самый	0
90	можно ли волнистым попугаям	4
91	пол попугая	5
92	амазон попугай	0
93	попугай 	0
94	ИМЯ	1
95	смешные попугаи	0
96	имена для попугаев	0
97	ИМЯ	1
98	про попугая кешу	6
99	попугаи дома	0
100	купить попугая в москве	3
101	квартал попугай	0
102	попугай 	0
103	птенцы попугаев	0
104	волнистый попугай фото	4
105	попугай без	0
106	попугай кеша подряд	6
107	кеша попугай все серии подряд	6
108	какого попугая можно	2
109	красный попугай	0
110	ИМЯ	1
111	игра попугай	0
112	мультик попугай кеша	6
113	день попугая	5
114	попугаи уход и содержание	1
115	мебель попугай	0
116	 попугаев 	0
117	 попугаев мультфильм 	1
118	крыло попугая	5
119	попугай 	0
120	говорящий попугай видео	1
121	попугай говорит видео	1
122	 попугай	0
123	самка волнистого попугая	1
124	 попугай	0
125	голова попугая	5
126	попугай новой	0
127	 квартал попугай	0
128	попугай майнкрафт	0
129	 попугая	5
130	ИМЯ	1
131	рыбка попугай	0
132	попугай рисунок	0
133	 попугаев мебель	0
134	попугаю 	0
135	мультик про попугая	1
136	завести попугая	5
137	волнистые попугаи видео	4
138	сколько живут домашние попугаи	1
139	попугаи неразлучники фото	1
140	волнистый попугай мальчик	4
141	ИМЯ	1
142	болезни попугаев	0
143	видео про попугаев	1
144	продажа попугаев	0
145	ИМЯ	1
146	возраст попугая	5
147	сколько живут попугаи в домашних условиях	1
148	попугай корелла фото	1
149	попугай корелла купить	1
150	умерший попугай	0
151	почему волнистый попугай	4
152	умирающий попугай	0
153	пение попугая слушать	1
154	попугай  букв	0
155	сонник попугай	0
156	желтый попугай	0
157	маленькие попугаи	0
158	цвета попугая	5
159	купить попугая жако	3
160	продам попугая	5
161	название попугаев	0
162	лечение попугаев	0
163	клюв волнистого попугая	1
164	попугай сидит	0
165	говорящий волнистый попугай	4
166	волнистый попугай говорит	4
167	официальный сайт попугаи	0
168	можно ли давать попугаю	2
169	ИМЯ	1
170	волнистый попугай самец	4
171	зоомагазин попугай	0
172	крупный попугай	0
173	попугай раскраска	0
174	попугаи слушать онлайн	1
175	средние попугаи	0
176	смотреть попугай кеша	6
177	сколько живут волнистые попугаи в домашних	4
178	сколько лет попугаю	1
179	хвост попугая	5
180	попугай григорий	0
181	попугай онлайн бесплатно	1
182	волнистый попугай разговаривает	4
183	голубой попугай	0
184	магазин попугаев	0
185	попугай ара купить	3
186	купить попугая ару	3
187	попугай спб	0
188	глаз попугая	5
189	попугаи видео смотреть	1
190	ИМЯ	1
191	говорящий попугай как научить говорить	1
192	попугай  буквы	0
193	ИМЯ	1
194	купля попугаев	0
195	сколько живет волнистый попугай в домашних условиях	4
196	где купить попугая	3
197	попугаи живут лет	1
198	волнистый попугай девочка	4
199	спящий попугай	0
200	ИМЯ	1
201	ИМЯ	1
202	попугай кеша мультфильм все серии	6
203	танцующий попугай	0
204	попугай танцует	0
205	волнистые попугаи как определить	4
206	чириканье попугаев	0
207	гостиница для попугаев	0
208	отдам попугая	5
209	попугай  букв	0
210	пол волнистого попугая	1
211	пение волнистых попугаев слушать	4
212	человек попугай	0
213	попугай чирикает	0
214	красивые попугаи	0
215	ИМЯ	1
216	смешные попугаи видео	1
217	смотреть бесплатно попугай	1
218	попугай корелла уход	1
219	класс попугаев	0
220	попугай для детей	0
221	ИМЯ	1
222	ИМЯ	1
223	виды попугаев фото	1
224	серый попугай	6
225	песнь попугая	5
226	мультфильм про попугая	1
227	любимый попугай	0
228	попугай детский	0
229	сколько лет живут попугаи	1
230	попугай и кот	0
231	попугай во сне	0
232	александрийский попугай	0
233	птенцы волнистых попугаев	4
234	попугай хочу	0
235	возьму попугая	5
236	попугай из бумаги	0
237	ИМЯ	1
238	яйца волнистых попугаев	4
239	игрушки для попугаев	0
240	попугай корелла цена	1
241	ИМЯ	1
242	купить попугая цена	3
243	помет попугая	5
244	попугай жако цена	1
245	попугай после	0
246	синий попугай	0
247	попугай корелла сколько	1
248	содержание волнистых попугаев	4
249	попугай какаду фото	1
250	приключения попугая	5
251	возвращение блудного попугая мультсериал	5
252	попугаи мира	0
253	попугая чехов	5
254	смотреть про попугаев	1
255	два попугая	5
256	попугай чех	0
257	клетка для волнистого попугая	1
258	попугаи разговаривают видео	1
259	язык попугая	5
260	 попугаев сайт	0
261	попугаи неразлучники купить	3
262	звуки волнистых попугаев	4
263	жизнь попугаев	0
264	мультфильм попугай кеша все серии подряд	6
265	попугай начал	0
266	анекдот про попугая	5
267	беременный попугай	0
268	попугай читать	0
269	попугай скачать бесплатно	1
270	 попугаев официальный сайт	0
271	попугай ару цены	1
272	недорогие попугаи	0
273	описание попугая	5
274	попугай ара цена	1
275	приколы с попугаями	0
276	болезни волнистых попугаев	4
277	разведение попугаев	0
278	голос попугая	5
279	оригами попугай	0
280	черный попугай	0
281	кричащий попугай	0
282	попугай кричит	0
283	 попугаев мебель официальный	0
284	волнистые попугаи онлайн	4
285	мультик про попугая кешу	6
286	возраст волнистого попугая	1
287	аквариумный попугай	0
288	лапы попугая	5
289	ИМЯ	1
290	попугай с хохолком	0
291	какой попугай лучше	0
292	попугай смотреть все серии	6
293	волнистый попугай слушать онлайн	4
294	содержание попугая корелла	1
295	купить попугая на авито	3
296	попугай карандашом	0
297	какарики попугаи	0
298	поющие попугаи видео	1
299	попугай часто	0
300	ИМЯ	1
301	найден попугай	0
302	купить говорящего попугая	3
303	неразлучники попугаи цена	1
304	дама с попугаем	0
305	 попугаев сайт мебель	0
306	попугай рио	0
307	много попугаев	0
308	попугай ютуб	0
309	 попугаев мебель официальный сайт	0
310	попугай лори	0
311	годы волнистых попугаев	4
312	корм для попугаев волнистых	4
313	смотреть мультфильмы попугай	1
314	попугай жако фото	1
315	 попугая	5
316	попугай питомник	0
317	домик для попугаев	0
318	клещ у попугая	5
319	попугай 	0
320	крови попугаев	0
321	попугай серии подряд без перерыва	6
322	гнездо для попугаев	0
323	ИМЯ	1
324	волнистый попугай уход и содержание	4
325	попугай кеша серии подряд без перерыва	6
326	разновидности попугаев	0
327	попугаи стали	0
328	какие есть попугаи	0
329	боцман и попугай	0
330	попугай стал	0
331	про смешных попугаев	0
332	ИМЯ	1
333	квартал про попугая	5
334	приключения попугая кеши	6
335	большие клетки для попугаев	1
336	попугай какаду цена	1
337	размеры попугаев	0
338	попугай цена в москве	1
339	попугай у стругацких	0
340	новый попугай кеша	6
341	попугая надо	5
342	имена для попугаев мальчиков	0
343	скачать попугай кеша	6
344	умный попугай	0
345	ИМЯ	1
346	купить попугая недорого	3
347	пара попугаев	0
348	ИМЯ	1
349	слушать попугая бесплатно	1
350	ИМЯ	1
351	ИМЯ	1
352	ИМЯ	1
353	попугай  букв сканворд	0
354	ИМЯ	1
355	разговор попугая	5
356	попугаи фото и названия	1
357	попугай кеша онлайне	6
358	качества попугая	5
359	мультфильм про попугая кешу	6
360	попугай минск	0
361	держать попугаев	0
362	попугай корелла уход и содержание	1
363	попугай схема	0
364	лечение волнистых попугаев	4
365	попугай поэтапно	0
366	кошка и попугай	0
367	размножение попугаев	0
368	попугай 	0
369	попугай мальчик или девочка	0
370	торрент попугай	0
371	попугай сканворд 	0
372	чириканье волнистых попугаев	4
373	книга попугая	5
374	едят ли попугаев	0
375	попугаю плохо	0
376	ИМЯ	1
377	попугай корелла разговаривает	1
378	история попугаев	0
379	попугай в дар	0
380	попугаи условия содержания	1
381	ИМЯ	1
382	попугай  букв сканворд	0
383	попугай мартышка	0
384	заболел попугай	0
385	бывают попугаи	0
386	приколы про попугаев	0
387	волнистый попугай бесплатно	4
388	ИМЯ	1
389	стоимость попугаев	0
390	попугаи слушать онлайн бесплатно	1
391	наросты у попугая	5
392	попугай кеша бесплатно	6
393	ИМЯ	1
394	ИМЯ	1
395	приснился попугай	0
396	попугаи фото цены	1
397	содержание попугаев в домашних условиях	1
398	попугай чешется	0
399	ИМЯ	1
400	 про попугая	5
401	попугай постоянно	0
402	попугай дрожит	0
403	попугаю месяц	0
404	попугай какаду купить	3
405	попугаи ростов	0
406	ИМЯ	1
407	звуки попугаев слушать	1
408	улетел попугай	0
409	 квартал про попугая	5
410	смотреть попугай все серии подряд	6
411	попугай текст	0
412	первый попугай	0
413	обезьяна попугай	0
414	ИМЯ	1
415	владелец попугая	5
416	попугай сказка	0
417	попугаи екатеринбурге	0
418	уход за попугаем	0
419	смотреть попугай говорит	1
420	смотреть говорящего попугая	1
421	попугаи новосибирск	0
422	сколько лет волнистому попугаю	4
423	ИМЯ	1
424	свободу попугаям	0
425	фильм попуганы	0
426	перья волнистого попугая	1
427	ИМЯ	1
428	совиный попугай	0
429	попугай скачать торрент	1
430	заводчик попугаев	0
431	жена и попугай	0
432	про попугая кешу все серии	6
433	восковица у попугая	5
434	попугай кеша смотреть онлайн	6
435	попугай пьет	0
436	попугай википедия	0
437	нужно ли попугаям	0
438	пение попугая онлайн	1
439	секс попугаев	0
440	домашние попугаи корелла	1
441	попугай бесплатно видео	1
442	ИМЯ	1
443	купить большого попугая	3
444	попугай открывает	0
445	день волнистого попугая	1
446	когти попугая	5
447	пение попугаев слушать онлайн	1
448	попугай 	0
449	домашний попугай уход	1
450	молодой попугай	0
451	цвета волнистых попугаев	4
452	смотреть попугай кеша все серии	6
453	волнистые попугаи живут лет	4
454	попугай мультики смотреть	1
455	говорящий попугай корелла	1
456	попугай корелла говорит	1
457	ИМЯ	1
458	ИМЯ	1
459	 попугаев детский	0
460	купить попугая в спб	3
461	ИМЯ	1
462	смешные видео про попугаев	1
463	мультик  попугаев	1
464	цветные попугаи	0
465	пластиковый попугай	0
466	попугай в хорошие руки	0
467	попугай нахохлился	0
468	попугай крючком	0
469	попугай отзывы владельцев	0
470	попугай по английски	0
471	волнистый попугай москва	4
472	ИМЯ	1
473	мультики попугай все серии	6
474	ИМЯ	1
475	попугай пират	0
476	попугай я тут	0
477	породы попугаев фото	1
478	попугай россии	0
479	ИМЯ	1
480	говорящий попугай кеша	6
481	попугай кеша говорит	6
482	говорящий попугай кеша говорит	6
483	фильм дама с попугаем	0
484	попугай из бутылок	0
485	попугай кеша квартал	6
486	попугаи до слез	0
487	ИМЯ	1
488	попугай самогонный	0
489	сколько лет живут волнистые попугаи	4
490	попугай значит	0
491	попугай зерно	0
492	попугай идет	0
493	песни попугаев слушать	1
494	можно ли давать волнистому попугаю	4
495	клички для попугаев	0
496	окрас попугаев	0
497	покупка попугая	5
498	линька у попугаев	0
499	попугай ночью	0
500	попугай 	0
501	вольер для попугаев	0
502	ИМЯ	1
503	вольеры для попугаев	0
504	попугай говорун	0
505	видео попуганы	1
506	попугай поет песню	0
507	попугай григорий видео	1
508	мультфильмы попугай 	1
509	фотографии попугаев	0
510	объявления попугая	5
511	волнистый попугай цена	4
512	 квартал попугай кеша	6
513	попугаи говорят смотреть видео	1
514	говорящие попугаи видео смотреть	1
515	ИМЯ	1
516	попугай  	0
517	зоомагазин купить попугая	3
518	 попугаев смотреть	1
519	волнистые попугаи онлайн бесплатно	4
520	попугай  мультфильм 	1
521	стоит волнистый попугай	4
522	попугай адлер	0
523	попугай сканворд 	0
524	ИМЯ	1
525	попугай г	0
526	нос попугая	5
527	попугай жидко	0
528	ИМЯ	1
529	ИМЯ	1
530	ИМЯ	1
531	новые приключения попугая	5
532	можно купить попугая	3
533	волнистые попугаи слушать онлайн бесплатно	4
534	можно научить попугая	2
535	попугай кусается	0
536	попугай наташа	0
537	ИМЯ	1
538	собака и попугай	0
539	попугай  буквы сканворд	0
540	новые приключения попугая кеши	6
541	попугай корелла в домашних условиях	1
542	попугай монах	0
543	попугай купается	0
544	остров попугаев	0
545	котенок и попугай	0
546	попугай продолжительность	0
547	зеленый попугай адлер	0
548	лапки волнистого попугая	1
549	клиника зеленый попугай	0
550	сколько дней попугаи	1
551	симптомы волнистых попугаев	4
552	пение онлайн волнистый попугай	4
553	ИМЯ	1
554	ИМЯ	1
555	аппарат попугай	0
556	розелла попугай фото	1
557	пение волнистых попугаев слушать онлайн	4
558	рыба попугай аквариумная	0
559	ИМЯ	1
560	имена для попугаев девочек	0
561	какие попугаи говорят	1
562	какие попугаи говорящие	1
563	певчий попугай	0
564	русский попугай	0
565	попугай снесла	0
566	 попугаев	0
567	попугай корелла отзывы	1
568	питание попугая	5
569	голубой волнистый попугай	4
570	попугай корелла живут	1
571	попугаи виды и названия	0
572	продолжительность жизни попугаев	0
573	купить попугая в москве цена	3
574	выпускать попугая	5
575	клетка для попугая своими руками	1
576	восковица волнистого попугая	1
577	яркий попугай	0
578	попугай  буквы	0
579	сколько стоит попугай корелла	1
580	попугай видео смотреть бесплатно	1
581	попугай кеша хороший	6
582	моющего попугая	5
583	попугай на улицы	0
584	попугаи воронеж	0
585	симптомы у попугаев	0
586	жердочка для попугая	5
587	попугаи кемерово	0
588	пение попугаев бесплатно	1
589	попугай снес яйцо	0
590	покажите попугай	0
591	старый попугай	0
592	ИМЯ	1
593	клубника попугаям	0
594	крик попугая	5
595	попугай линяет	0
596	три попугая	5
597	зачем попугай	0
598	чириканье попугая слушать	1
599	звуки попугаев волнистых слушать	1
600	попугай нимфа	0
601	ИМЯ	1
602	сколько стоит волнистый попугай	4
603	попугай из пластиковых бутылок	0
604	фото попугая ару	1
605	попугай корелла видео	1
606	попугай друг	0
607	попугай ара фото	1
608	волнистый попугай своими руками	4
609	ИМЯ	1
610	смотреть попугая кешу бесплатно	6
611	попугай сильно	0
612	попугаи несут яйца	0
613	попугай жако сколько	1
614	мультик попугай кеша все серии	6
615	крыло волнистого попугая	1
616	город попугаев	0
617	смотреть онлайн все серии попугай	6
618	белый волнистый попугай	4
619	попугаев тюмень	0
620	попугай танцует под	0
621	попугай грызет	0
622	сайт зеленый попугай	0
623	купить попугая в минске	3
624	щенок и попугай	0
625	музыка для попугаев	0
626	кот из попугая кеши	6
627	взрослый попугай	0
628	попугай  букв	0
629	ожереловый попугай фото	1
630	попугай для самогонного аппарата	0
631	овощи попугаям	0
632	сколько живут попугаи корелла	1
633	попугаи ижевск	0
634	ИМЯ	1
635	авито москва попугай	1
636	пение попугаев слушать бесплатно	1
637	попугай на плече	0
638	имена для волнистых попугаев	4
639	виды попугаев фото и названия	1
640	попугай кеша смотреть подряд	6
641	про попугаев говорящих	1
642	про попугая говорить	1
643	какие бывают попугаи	0
644	какие попугаи разговаривают	0
645	попа попугая	5
646	попугай амазон цена	1
647	попугай попу попу	0
648	белый попугай с хохолком	0
649	ИМЯ	1
650	цветок попугай	0
651	смотреть попугай кеша все серии подряд	6
652	попугаи саратов	0
653	самый большой попугай	0
654	зеленый волнистый попугай	4
655	ИМЯ	1
656	ИМЯ	1
657	утро попугая	5
658	ИМЯ	1
659	вырасти попугая	5
660	гнездо для волнистых попугаев	4
661	ИМЯ	1
662	песня про попугая	5
663	попугай со	0
664	зеленый попугай официальный сайт	0
665	собака кошка попугай	0
666	розовый попугай	0
667	попугай кеша картинки	6
668	попугай удав мартышка	0
669	волнистый попугай дома	4
670	разные попугаи	0
671	попугаи в природе	0
672	какие попугаи корелла	1
673	попугай балашиха	0
674	попугай сломал	0
675	попугай амазон купить	3
676	попугая котенок и щенок	5
677	попугай клуб	0
678	помет волнистого попугая	1
679	банан попугаю	0
680	сенегальский попугай	0
681	детская мебель попугай	0
682	пение попугаев слушать онлайн бесплатно	1
683	попугай перестал	0
684	кормушка для попугаев	0
685	дикий попугай	0
686	юла попугай	0
687	желтый волнистый попугай	4
688	лучшие говорящие попугаи	1
689	ученный попугай	0
690	можно попугаю клубнику	2
691	купание попугая	5
692	признаки попугая	5
693	неразлучники попугаи в домашних	1
694	пение волнистых попугаев бесплатно	4
695	смотреть про попугая кешу	6
696	попугай корелла мальчик	1
697	авито клетка для попугая	1
698	аквариумная рыбка попугай	0
699	село попугаев	0
700	размножение волнистых попугаев	4
701	детская мебель  попугаев	0
702	попугай орет	0
703	попугай мультфильм онлайн	1
704	сколько попугай какаду	1
705	аллергия на попугаев	0
706	рыба попугай фото	1
707	авито волнистые попугаи	4
708	попугай у стругацких 	0
709	витамины для попугаев	0
710	где можно купить попугая	3
711	попугай курляндского	0
712	смотреть бесплатно про попугаев	1
713	какую траву можно попугаям	2
714	сколько лет живут домашние попугаи	1
715	фото попугаев домашних	1
716	попугай танцует видео	1
717	танцующие попугаи видео	1
718	веселый попугай	0
719	ИМЯ	1
720	волнистый попугай чирикает	4
721	разговорчивые попугаи	0
722	 попугаев скачать	1
723	песни волнистых попугаев	4
724	смотреть онлайн мультфильмы попугай	1
725	попугай кеша мультфильм смотреть	6
726	цихлида попугай	0
727	почему попугай корелла	1
728	пение волнистых попугаев слушать бесплатно	4
729	попугай садится	0
730	 попугаев онлайн	1
731	отдам даром попугая	5
732	какапо попугай	0
733	виды домашних попугаев	1
734	попугай чихает	0
735	попугай у стругацких  букв	0
736	песни для попугаев	0
737	купить корм для попугаев	3
738	 попугаев все серии	6
739	попугаи мультик все серии подряд	6
740	кольчатый попугай	0
741	неразлучники попугаи в домашних условиях	1
742	зеленый попугай балашиха	0
743	жизнь волнистых попугаев	4
744	попугай смеется	0
745	ИМЯ	1
746	попугаи и другая	0
747	попугай канарейка	0
748	прикольные попугаи	0
749	попугай ищет	0
750	покупаем попугая	5
751	ИМЯ	1
752	ИМЯ	1
753	волнистый попугай чех	4
754	попугай из покрышки	0
755	попугай у стругацких сканворд	0
756	коричневые попугаи	0
757	распечатать попугая	5
758	купить волнистого попугая в москве	3
759	ожереловый попугай купить	3
760	 попугаев	0
761	попугай ругается	0
762	чириканье попугаев волнистых слушать	1
763	попугай амазон фото	1
764	сколько лет живут попугаи в домашних условиях	1
765	ручной попугай	0
766	попугай плачет	0
767	плачущий попугай	0
768	домик для волнистых попугаев	4
769	интересные попугаи	0
770	плохо летающий попугай	0
771	удав в попугаях	0
772	клетки для попугаев недорого	1
773	пение волнистых попугаев бесплатно онлайн	4
774	пение волнистого попугая слушать онлайн бесплатно	1
775	имена для попугаев корелла	1
776	попугай жако москва	1
777	смотреть мультик попугай кеша	6
778	попугай новой зеландии	0
779	ИМЯ	1
780	ИМЯ	1
781	ИМЯ	1
782	попугай матерится	0
783	разноцветный попугай	0
784	попугай пермь	0
785	порода попугая корелла	1
786	попугай корелла поет	1
787	ИМЯ	1
788	скачать игру попугай	1
789	попугай тяжело	0
790	дама с попугаем 	0
791	кеа попугай	0
792	поведение попугаев	0
793	волнистый попугай отзывы	4
794	попугай жако видео	1
795	говорящий попугай цена	1
796	разговаривают ли попугаи	0
797	пьяные попугаи	0
798	домашний попугай в клетке	1
799	попугай видео скачать	1
800	попугаи разновидности с фото	1
801	попугай съел попугая	5
802	попугай гриша	0
803	домашние попугаи уход и содержание	1
804	дама с попугаем фильм 	0
805	можно ли попугаям клубнику	2
806	кормление попугаев	0
807	африканские попугаи	0
808	неразлучники попугаи сколько	1
809	попугай и кот видео	1
810	ИМЯ	1
811	попугай петербург	0
812	купить большую клетку для попугая	3
813	мультфильм приключение попугая	1
814	корелла попугай пол	1
815	зоб у попугая	5
816	огурцы попугаям	0
817	серый попугай 	6
818	попугай высиживает яйца	0
819	попугай падает	0
820	зеленый попугай ветеринарная	0
821	тема попугай	0
822	ИМЯ	1
823	стул попугая	5
824	голоса волнистых попугаев	4
825	отличие попугаев	0
826	попугай кеша 	6
827	поилка для попугая	5
828	ожереловый попугай цена	1
829	наросты у волнистого попугая	1
830	попугай в аквариуме	0
831	бу попугаи	0
832	мультфильмы приключения попугая кеши	6
833	семечки попугай	0
834	попугаи в краснодаре	0
835	радужный попугай	0
836	попугай кеша торрент	6
837	пища попугая	5
838	купить птенца попугая	3
839	сколько живут попугаи в клетке	1
840	мультик попугай кеша все серии подряд	6
841	уход за волнистыми попугаями	4
842	ИМЯ	1
843	попугай вылетел	0
844	болезни попугаев и лечение	0
845	попугай кеша фото	6
846	помоги попугаю	0
847	стенды для попугаев	0
848	четыре попугая	5
849	приколы с попугаями видео	1
850	ИМЯ	1
851	написать попугай	0
852	мультики про попугаев все серии	6
853	купалка для попугая	5
854	фабрика  попугаев	0
855	ИМЯ	1
856	попугай после покупки	0
857	попугай в добрые	0
858	картина попугай	0
859	попугай слоненок удав	0
860	ИМЯ	1
861	спаривание попугаев	0
862	ИМЯ	1
863	виды говорящих попугаев	1
864	игровая для попугая	5
865	фильмы про попугаев	0
866	ИМЯ	1
867	ИМЯ	1
868	игра попугай кеша	6
869	попугай перевод	0
870	приключения попугая кеши 	6
871	ИМЯ	1
872	ИМЯ	1
873	новые приключения попугая кеши 	6
874	новые приключения попугая кеши мультфильм	6
875	ИМЯ	1
876	сколько живут волнистые попугаи в клетке	4
877	попугай санкт петербург	0
878	попугай выщипывает	0
879	вид попугая сканворд	5
880	ИМЯ	1
881	путешествие попугай	0
882	почему у попугая перья	5
883	ИМЯ	1
884	зеленый попугай ветеринарная клиника	0
885	голова волнистого попугая	1
886	видеть во сне попугая	5
887	ИМЯ	1
888	ИМЯ	1
889	смотреть мультики про попугаев	1
890	попугай 	0
891	интерактивный попугай	0
892	домашние попугаи как ухаживать	1
893	попугаи в нижнем	0
894	волнистый попугай уход в домашних условиях	4
895	 попугаев	0
896	мартышка слоненок попугай	0
897	линька у волнистых попугаев	4
898	глаз волнистого попугая	1
899	слон попугай	0
900	серый попугай  буквы	6
901	купить попугая в новосибирске	3
902	 попугаев ижевск	0
903	попугай в добрые руки	0
904	новые приключения попугая кеши мультфильм 	6
905	ИМЯ	1
906	приключения попугая кеши мультфильм 	6
907	говорят ли попугаи	1
908	маленькие попугаи волнистые	4
909	клетки для попугаев корелла	1
910	молодой волнистый попугай	4
911	попугай похожий	0
912	ИМЯ	1
913	ИМЯ	1
914	попугай и чудовище	0
915	волнистый попугай хвост	4
916	пара волнистых попугаев	4
917	попугай кеша все серий онлайн	6
918	попугай кеша и чудовище	6
919	попугаю можно давать траву	2
920	ИМЯ	1
921	можно попугаю банан	2
922	разведение волнистых попугаев	4
923	клетка для волнистого попугая купить	3
924	дно клетки попугая	1
925	список попугаев	0
926	смотреть видео про попугаев	1
927	песнь волнистого попугая	1
928	попугай лежит	0
929	длина попугая	5
930	попугай трясется	0
931	какого цвета попугай	0
932	скачать про попугая	1
933	зоомагазин волнистые попугаи	4
934	купить попугаев интернете	3
935	птичка попугай	0
936	игрушки для попугаев волнистых	4
937	рынок попугаев	0
938	скачать песню попугай	1
939	какую траву дают попугаям	0
940	лампа для попугая	5
941	волнистый попугай часто	4
942	мультфильм про кешу попугая все серии	6
943	переноска для попугая	5
944	попугай из пластилина	0
945	попугаи уход и содержание в домашних условиях	1
946	ИМЯ	1
947	волнистому попугаю месяц	4
948	попугай картинка для детей	0
949	рот попугая	5
950	понос у волнистого попугая	1
951	фон попугаи	0
952	смерть попугая	5
953	про попугая кешу все серии подряд	6
954	 попугаев мультфильм смотреть	1
955	попугай кеша скачать торрент	6
956	ИМЯ	1
957	можно ли кормить попугаев	2
958	попугай  класс	0
959	минусы попугая	5
960	попугай корелла самец	1
961	австралийский попугай	0
962	попуганы купить	3
963	хлеб попугаю	0
964	попугай выщипывает перья	0
965	хазанов попугай	0
966	можно попугаям огурец	2
967	попугай айболита	0
968	крупный попугай 	0
969	черешня попугаям	0
970	какие фрукты можно попугаям	2
971	попугай повторяет	0
972	почему у попугая клюв	5
973	можно ли попугаю корелла	2
974	вышивка попугаи	0
975	мультики про кешу попугая все серии	6
976	кеша попугай смотреть онлайн все серии	6
977	мультфильм блудный попугай	1
